MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS,BOROUGH_ID
2020 / 08,Queens,09,4861.2,449.0,749.1,,,,,4
2020 / 01,Queens,09,3634.3,463.6,552.2,164.1,40.0,,36.0,4
2020 / 03,Queens,09,3613.2,423.5,556.6,158.2,21.6,,,4
2021 / 04,Queens,09,1051.8,114.0,173.0,,,,,4
2020 / 08,Brooklyn,05,5716.1,322.6,533.6,,,,,3
2020 / 11,Brooklyn,06,2383.8,549.9,440.8,,,,,3
2020 / 06,Queens,03,6035.7,452.7,672.7,,,,,4
2021 / 02,Bronx,12,3141.5,315.4,476.1,,,,,2
2020 / 05,Staten Island,02,5189.0,571.5,702.7,,,,,5
2020 / 10,Staten Island,02,4691.7,577.1,666.6,,,,,5
2021 / 02,Staten Island,02,3169.7,444.6,458.2,,,,,5
2020 / 06,Queens,07,7718.7,870.3,1027.2,,,,,4
2020 / 08,Queens,07,7807.7,816.3,905.8,,,,,4
2020 / 04,Brooklyn,14,4536.1,449.1,451.7,,,,,3
2020 / 06,Brooklyn,13,2383.7,215.9,287.5,,,,,3
2020 / 08,Brooklyn,13,2415.9,182.5,248.0,,,,,3
2021 / 02,Brooklyn,13,1801.2,163.2,188.1,,,,,3
2020 / 04,Queens,02,2702.2,393.0,482.4,77.3,,,,4
2020 / 08,Queens,02,3560.9,439.2,456.5,,,,,4
2021 / 01,Queens,02,2931.6,460.6,467.9,,,,21.3,4
2021 / 04,Queens,04,1104.0,94.2,163.0,,,,,4
2020 / 02,Brooklyn,12,5717.2,603.1,395.3,35.4,79.5,,,3
2020 / 03,Brooklyn,12,6505.4,698.4,477.3,40.0,63.8,,,3
2020 / 08,Queens,10,4811.8,382.5,671.0,,,,,4
2021 / 01,Queens,10,3515.7,382.2,571.5,,,,11.8,4
2021 / 04,Queens,10,1085.9,96.0,152.0,,,,,4
2020 / 10,Queens,14,3438.8,305.6,344.3,,,,,4
2021 / 01,Queens,14,2964.9,284.1,307.5,,,,27.0,4
2021 / 04,Queens,14,733.6,59.1,71.2,,,,,4
2020 / 06,Brooklyn,02,2608.2,489.3,478.0,,,,,3
2020 / 10,Brooklyn,02,2745.0,566.2,464.3,,,,,3
2020 / 11,Bronx,11,3441.7,265.8,385.6,,,,,2
2020 / 07,Bronx,11,3683.3,314.9,514.5,,,,,2
2021 / 02,Bronx,11,2536.8,259.8,313.9,,,,,2
2020 / 05,Bronx,11,3495.3,315.2,472.7,9.0,,,,2
2020 / 12,Bronx,11,3268.6,359.4,452.1,,,,,2
2020 / 04,Queens,11,2874.2,468.8,539.9,126.8,,,,4
2020 / 08,Queens,11,3671.5,472.0,516.1,,,,,4
2020 / 02,Queens,11,2242.2,391.5,373.3,98.6,61.6,,,4
2020 / 12,Queens,11,3152.1,570.2,529.2,,,,,4
2020 / 06,Queens,08,4411.6,512.3,532.7,,,,,4
2020 / 01,Queens,08,3374.4,468.9,411.6,104.5,,,38.4,4
2020 / 08,Queens,08,4377.6,478.7,479.9,,,,,4
2021 / 03,Queens,08,3840.0,484.6,465.6,,,,,4
2020 / 09,Brooklyn,10,3693.2,528.5,522.8,,,,,3
2020 / 09,Brooklyn,17,4968.1,353.6,545.3,,,,,3
2020 / 03,Queens,06,2749.2,398.6,392.8,,41.8,,,4
2020 / 05,Bronx,08,2477.3,341.8,420.7,6.0,,,,2
2020 / 12,Brooklyn,08,2851.4,432.3,380.6,,,2.2,,3
2020 / 11,Bronx,01,2244.8,166.2,157.7,,,,,2
2020 / 09,Bronx,01,2354.1,184.0,190.4,,,,,2
2020 / 12,Bronx,01,2275.7,177.0,181.3,,,,,2
2021 / 04,Bronx,01,556.3,37.2,39.4,,,,,2
2020 / 04,Brooklyn,16,1997.0,107.7,186.9,21.1,,,,3
2020 / 07,Bronx,02,1810.6,168.9,218.6,,,,,2
2020 / 01,Bronx,02,1484.8,125.2,183.9,,,,4.5,2
2020 / 11,Bronx,02,1614.8,99.9,126.3,,,5.0,,2
2020 / 03,Bronx,02,1480.0,94.9,142.8,,,,,2
2020 / 03,Manhattan,07,4382.9,1067.6,804.7,42.6,24.9,,,1
2020 / 09,Manhattan,07,4562.1,1007.1,731.3,,,,,1
2020 / 04,Manhattan,07,3494.5,819.9,775.9,30.9,,,,1
2020 / 05,Manhattan,07,3921.4,850.0,752.6,1.6,,,,1
2020 / 08,Manhattan,07,4379.0,890.3,729.1,,,,,1
2021 / 01,Manhattan,07,4122.7,1048.4,816.0,,,,81.6,1
2020 / 06,Manhattan,02,1696.7,366.2,320.2,,,,,1
2021 / 01,Manhattan,02,1659.6,397.0,296.3,,,,26.4,1
2021 / 04,Manhattan,02,424.8,102.3,71.7,,,,,1
2020 / 03,Manhattan,10,2487.5,269.5,273.6,17.8,20.3,,,1
2021 / 02,Manhattan,10,2335.0,241.5,231.5,,,,,1
2020 / 07,Bronx,04,4772.9,369.4,457.8,,,,,2
2020 / 06,Bronx,04,4684.4,433.8,535.5,,,,,2
2020 / 12,Brooklyn,01,5989.1,925.8,661.6,,,,,3
2020 / 10,Brooklyn,03,4542.0,486.7,473.9,,,,,3
2020 / 09,Manhattan,12,5283.8,545.6,588.1,,,,,1
2020 / 07,Manhattan,05,1275.6,248.5,183.8,,,,,1
2020 / 06,Manhattan,05,1147.4,231.0,181.8,,,,,1
2020 / 06,Bronx,05,4088.9,350.4,468.3,,,,,2
2020 / 05,Bronx,05,3886.9,278.9,402.6,,,,,2
2020 / 09,Bronx,05,3768.6,307.9,441.2,,,,,2
2021 / 03,Bronx,05,3715.8,270.8,409.7,,,,,2
2021 / 02,Bronx,05,3109.6,229.4,309.4,,,,,2
2020 / 08,Bronx,05,3915.2,304.2,441.9,,,,,2
2021 / 02,Manhattan,06,2321.7,484.4,395.4,,,,,1
2021 / 03,Manhattan,09,2230.2,244.4,262.4,,,,,1
2020 / 01,Brooklyn,09,2879.2,307.5,285.8,,,,13.8,3
2020 / 03,Brooklyn,09,2795.8,264.9,236.5,,,,,3
2020 / 08,Brooklyn,09,3204.9,307.6,283.4,,,,,3
2020 / 08,Manhattan,11,2407.5,221.2,218.3,,,,,1
2021 / 03,Manhattan,11,2288.5,240.2,220.0,,,,,1
2020 / 10,Bronx,07,3923.0,393.4,623.1,,,,,2
2020 / 04,Bronx,07,3550.1,281.2,499.9,,,,,2
2020 / 08,Bronx,07,4052.6,389.3,600.6,,,,,2
2020 / 11,Manhattan,04,2242.7,409.9,350.3,,,,,1
2020 / 06,Manhattan,04,2298.1,409.7,381.8,,,,,1
2021 / 04,Manhattan,04,553.6,148.4,91.8,,,,,1
2020 / 05,Manhattan,01,1089.3,284.8,245.0,0.6,,,,1
2020 / 03,Brooklyn,04,2972.4,279.9,400.7,,,,,3
2020 / 04,Brooklyn,04,2908.5,282.3,443.4,,,,,3
2021 / 03,Brooklyn,04,3543.2,335.1,422.1,,,,,3
2020 / 12,Brooklyn,04,3379.6,353.5,449.7,,,,,3
2020 / 04,Bronx,06,2197.1,153.9,239.8,9.6,,,,2
2020 / 06,Bronx,06,2728.9,243.8,292.8,,,,,2
2020 / 04,Brooklyn,07,2925.0,390.7,435.7,55.8,,,,3
2021 / 02,Brooklyn,07,2903.6,350.4,354.6,,,,,3
2020 / 08,Staten Island,03,6861.7,747.8,830.3,,,,,5
2021 / 04,Staten Island,03,1588.0,217.9,214.3,,,,,5
2020 / 01,Brooklyn,11,4881.9,647.8,589.8,42.0,,,20.9,3
2020 / 12,Brooklyn,11,5344.1,707.0,635.2,,,15.8,,3
2020 / 02,Queens,05,4045.7,530.6,650.9,103.3,55.7,,,4
2020 / 06,Queens,05,5693.4,678.2,1089.5,,,,,4
2020 / 02,Brooklyn,18,4388.2,461.7,525.5,,,,,3
2020 / 08,Brooklyn,18,6639.9,588.2,776.9,,,,,3
2020 / 09,Bronx,09,4236.0,289.9,465.1,,,,,2
2020 / 07,Bronx,09,4461.4,322.7,496.6,,,,,2
2021 / 02,Bronx,09,3161.9,216.9,317.8,,,,,2
2020 / 09,Staten Island,01,6081.8,612.6,892.7,,,,,5
2020 / 08,Bronx,10,3068.0,320.5,531.8,,,,,2
2020 / 01,Queens,12,6084.4,483.9,875.9,,,,13.5,4
2020 / 11,Queens,12,7505.6,497.2,859.5,,,,,4
2020 / 08,Queens,12,8452.2,558.4,1085.0,,,,,4
2020 / 12,Queens,12,7175.7,648.6,1024.4,,,,,4
2021 / 04,Brooklyn,15,1072.6,120.4,125.4,,,,,3
2020 / 10,Brooklyn,06,2368.5,642.0,493.0,,,,,3
2021 / 01,Brooklyn,06,2126.6,611.2,481.5,,,,52.2,3
2021 / 02,Queens,03,4059.9,350.7,451.2,,,,,4
2020 / 11,Staten Island,02,4976.6,530.5,530.5,,,1.0,,5
2020 / 04,Staten Island,02,4378.4,560.4,657.5,,,,,5
2021 / 03,Staten Island,02,4546.7,557.1,620.0,,,,,5
2021 / 01,Staten Island,02,3950.4,574.7,605.6,,,4.9,18.7,5
2020 / 04,Queens,07,6075.1,782.4,861.1,113.2,,,,4
2020 / 10,Queens,07,7239.3,862.8,895.0,,,,,4
2021 / 01,Queens,07,6141.7,833.0,830.5,,,,31.2,4
2021 / 04,Queens,07,1790.6,198.9,211.4,,,,,4
2020 / 11,Brooklyn,14,5135.9,495.4,447.5,,,,,3
2020 / 02,Brooklyn,13,1727.2,154.2,194.9,17.4,,,,3
2020 / 01,Brooklyn,13,1931.7,194.2,251.9,19.4,,,4.8,3
2020 / 04,Brooklyn,13,1852.9,160.0,234.0,19.8,,,,3
2021 / 01,Queens,04,3924.5,363.4,587.0,,,,9.8,4
2020 / 05,Brooklyn,12,6182.3,760.3,450.2,2.7,,,,3
2020 / 02,Queens,10,2999.8,297.5,435.2,55.1,,,,4
2020 / 11,Queens,10,4307.4,357.2,563.3,,,,,4
2020 / 12,Queens,10,3923.3,466.4,643.7,,,,,4
2020 / 04,Queens,14,2843.8,248.7,313.4,71.3,,,,4
2021 / 02,Brooklyn,02,2068.2,460.3,395.6,,,,,3
2020 / 02,Queens,08,3018.5,386.2,358.3,84.9,,,,4
2020 / 03,Queens,08,3454.1,422.7,417.6,102.9,,,,4
2020 / 06,Brooklyn,10,3877.5,549.0,595.6,,,,,3
2020 / 03,Brooklyn,17,3965.2,274.7,427.9,,,,,3
2020 / 07,Brooklyn,17,5472.3,404.8,605.0,,,,,3
2020 / 10,Brooklyn,17,4840.6,372.6,508.4,,,,,3
2021 / 02,Brooklyn,17,3516.5,254.5,380.0,,,,,3
2021 / 04,Brooklyn,17,1081.2,80.7,116.9,,,,,3
2020 / 10,Queens,06,3015.4,455.6,436.2,,,,,4
2020 / 11,Queens,06,2981.1,388.3,382.1,,,,,4
2020 / 02,Queens,06,2440.6,364.4,333.4,,59.7,,,4
2021 / 04,Queens,06,699.0,98.7,99.4,,,,,4
2020 / 11,Bronx,08,2578.3,339.3,382.4,,,,,2
2020 / 10,Brooklyn,08,2897.2,363.2,335.0,,,,,3
2020 / 02,Brooklyn,08,2306.3,259.5,248.2,,11.6,,,3
2020 / 02,Bronx,01,1793.6,101.9,122.4,5.2,,,,2
2020 / 06,Bronx,02,1789.9,145.1,177.1,,,,,2
2020 / 07,Manhattan,07,4295.8,927.1,758.3,,,,,1
2020 / 04,Manhattan,03,2252.6,266.1,337.0,,,,,1
2021 / 01,Manhattan,03,2528.5,366.2,334.4,,,,11.3,1
2020 / 09,Manhattan,02,1911.4,452.7,325.3,,,,,1
2020 / 10,Manhattan,02,2010.9,455.1,322.5,,,,,1
2020 / 08,Manhattan,10,2965.8,269.5,271.4,,,,,1
2020 / 05,Manhattan,10,2615.5,281.1,298.2,0.8,,,,1
2020 / 11,Bronx,04,4266.4,299.1,394.9,,,,,2
2021 / 03,Bronx,04,4341.1,326.3,425.0,,,,,2
2020 / 10,Brooklyn,01,6226.8,879.7,645.7,,,,,3
2020 / 04,Brooklyn,01,4930.4,701.2,633.5,57.2,,,,3
2020 / 04,Brooklyn,03,3798.2,398.5,449.9,,,,,3
2020 / 07,Manhattan,12,5527.1,591.1,648.2,,,,,1
2021 / 01,Manhattan,12,4615.6,496.9,569.3,,,,25.6,1
2021 / 04,Manhattan,12,1092.0,114.7,121.9,,,,,1
2020 / 02,Manhattan,05,1194.2,257.8,171.0,,,,,1
2021 / 01,Manhattan,08,4386.0,1081.5,819.8,,,,96.0,1
2021 / 01,Bronx,05,3402.7,275.2,406.1,,,,7.6,2
2021 / 04,Bronx,05,899.5,57.5,89.9,,,,,2
2020 / 02,Manhattan,09,1979.6,247.7,266.3,35.1,47.9,,,1
2020 / 03,Manhattan,09,2133.6,242.2,264.4,40.8,36.3,,,1
2020 / 01,Manhattan,09,2116.1,286.4,306.2,35.7,63.1,,20.5,1
2020 / 08,Manhattan,09,2460.9,280.4,308.9,,,,,1
2021 / 01,Manhattan,09,2083.8,314.7,316.4,,,,18.5,1
2020 / 09,Brooklyn,09,3246.4,341.9,301.6,,,,,3
2020 / 05,Brooklyn,09,3016.8,320.3,303.3,,,,,3
2020 / 06,Manhattan,11,2354.0,236.4,217.2,,,,,1
2020 / 10,Manhattan,11,2310.5,221.9,196.3,,,,,1
2020 / 06,Bronx,07,4286.6,427.7,607.1,,,,,2
2020 / 01,Bronx,07,3568.5,308.9,512.6,,,,15.6,2
2020 / 09,Manhattan,04,2400.6,471.3,383.2,,,,,1
2020 / 11,Manhattan,01,1207.1,325.3,224.3,,,,,1
2020 / 10,Manhattan,01,1341.7,434.7,289.9,,,,,1
2021 / 01,Brooklyn,04,3132.2,341.4,436.2,,,,11.7,3
2020 / 07,Bronx,03,2392.1,208.8,278.8,,,,,2
2020 / 11,Bronx,03,2187.7,160.8,208.6,,,,,2
2020 / 04,Bronx,03,1931.7,140.6,235.7,,,,,2
2020 / 02,Bronx,03,1731.9,118.4,193.5,,,,,2
2021 / 04,Bronx,03,549.5,42.0,48.7,,,,,2
2020 / 10,Bronx,06,2473.6,193.8,230.5,,,,,2
2021 / 01,Brooklyn,07,3250.2,439.8,433.5,,,,12.1,3
2020 / 05,Staten Island,03,7306.6,853.2,988.1,,,,,5
2021 / 01,Staten Island,03,5633.6,876.2,779.7,,,,28.7,5
2021 / 02,Brooklyn,18,4257.7,426.6,542.2,,,,,3
2020 / 07,Queens,13,6957.2,552.2,1164.7,,,,,4
2020 / 12,Queens,13,5563.5,578.5,1027.6,,,,,4
2020 / 06,Bronx,09,4423.5,326.0,497.1,,,,,2
2020 / 02,Bronx,09,3262.2,199.7,308.4,,,,,2
2020 / 01,Staten Island,01,4751.0,650.1,713.9,83.6,,,35.7,5
2020 / 05,Bronx,10,3101.6,357.9,567.3,7.3,,,,2
2020 / 07,Bronx,10,3095.1,343.1,563.3,,,,,2
2021 / 01,Bronx,10,2509.6,363.3,454.7,,,,8.4,2
2020 / 03,Queens,12,5999.5,417.8,829.1,,,,,4
2021 / 02,Queens,12,5060.5,406.2,723.7,,,,,4
2020 / 03,Queens,01,3937.1,638.0,700.2,,,,,4
2021 / 04,Queens,01,1021.3,158.1,167.0,,,,,4
2020 / 02,Queens,09,3267.8,367.3,467.4,122.5,30.8,,,4
2020 / 11,Queens,09,4449.3,400.2,616.7,,,,,4
2020 / 10,Queens,09,4502.7,426.2,711.4,,,,,4
2020 / 12,Queens,09,4195.2,523.5,691.6,,,,,4
2020 / 11,Brooklyn,05,5117.3,285.9,452.8,,,,,3
2021 / 03,Brooklyn,06,2374.0,580.7,456.0,,,,,3
2020 / 09,Queens,03,5584.6,433.2,625.9,,,,,4
2020 / 10,Queens,03,5410.9,446.4,631.2,,,,,4
2021 / 03,Queens,03,5387.1,397.6,553.0,,,,,4
2020 / 01,Bronx,12,3496.6,389.0,618.1,135.0,,,8.4,2
2020 / 08,Bronx,12,4787.3,433.3,713.8,,,,,2
2020 / 04,Bronx,12,3577.3,357.6,616.3,141.7,,,,2
2021 / 03,Bronx,12,4251.6,404.7,638.8,,,,,2
2020 / 02,Staten Island,02,3418.3,459.3,428.3,,30.2,1.6,,5
2020 / 05,Queens,07,7243.8,811.1,936.3,9.5,,,,4
2020 / 10,Brooklyn,14,5203.5,533.9,505.8,,,,,3
2020 / 06,Brooklyn,14,5303.7,559.8,543.8,,,,,3
2020 / 07,Brooklyn,14,5241.4,492.8,497.1,,,,,3
2021 / 03,Brooklyn,14,5054.1,518.9,479.7,,,,,3
2020 / 10,Brooklyn,13,2302.1,205.8,255.6,,,,,3
2020 / 02,Queens,02,2625.6,370.6,361.8,59.6,53.1,,,4
2020 / 07,Queens,02,3550.5,487.1,495.0,,,,,4
2020 / 03,Queens,02,2931.5,435.3,445.1,76.6,36.0,,,4
2020 / 12,Queens,02,3207.7,563.5,519.1,,,,,4
2021 / 04,Queens,02,839.4,113.9,115.6,,,,,4
2020 / 04,Queens,04,3709.4,303.8,473.1,,,,,4
2021 / 03,Queens,04,4330.1,368.1,579.1,,,,,4
2020 / 08,Queens,04,4636.3,376.4,577.7,,,,,4
2020 / 06,Brooklyn,12,6530.9,792.0,442.9,,,,,3
2020 / 10,Brooklyn,12,7031.3,783.2,446.2,,,,,3
2020 / 04,Queens,10,3617.3,346.3,586.7,57.6,,,,4
2020 / 05,Queens,10,4517.3,378.6,675.9,4.0,,,,4
2020 / 09,Queens,10,4531.6,392.5,611.9,,,,,4
2021 / 03,Queens,10,3975.8,384.9,611.0,,,,2.4,4
2020 / 01,Queens,14,2703.6,267.0,279.4,58.9,,,27.0,4
2020 / 10,Bronx,11,3477.6,304.2,449.8,,,,,2
2020 / 09,Queens,11,3511.2,495.6,520.5,,,,,4
2020 / 11,Queens,11,3628.3,445.6,443.3,,,,,4
2020 / 11,Queens,08,4010.8,430.4,405.3,,,,,4
2020 / 04,Brooklyn,10,3079.0,480.5,534.7,56.1,,,,3
2021 / 03,Brooklyn,10,3611.7,499.6,507.3,,,,,3
2020 / 11,Brooklyn,17,4805.0,336.9,462.6,,,,,3
2021 / 01,Brooklyn,17,4231.1,355.3,499.6,,,,6.0,3
2020 / 09,Queens,06,3133.3,436.8,419.6,,,,,4
2020 / 05,Brooklyn,08,2710.3,281.2,305.7,,,,,3
2020 / 06,Brooklyn,08,2995.0,379.8,391.6,,,,,3
2020 / 07,Brooklyn,08,3096.7,352.7,367.8,,,,,3
2020 / 10,Bronx,01,2307.4,167.6,170.0,,,,,2
2021 / 03,Bronx,01,2324.2,176.0,183.1,,,,,2
2021 / 01,Bronx,01,2092.5,164.5,172.2,,,,3.4,2
2020 / 08,Bronx,02,1767.8,128.0,168.6,,,,,2
2021 / 03,Bronx,02,1710.1,123.9,146.9,,,,,2
2020 / 10,Manhattan,07,4625.0,1123.8,825.4,,,,,1
2020 / 01,Manhattan,07,4683.6,1140.8,859.9,42.7,49.8,,81.0,1
2020 / 03,Manhattan,03,2699.6,305.2,313.6,,28.3,,,1
2020 / 09,Manhattan,03,3016.1,392.8,339.8,,,,,1
2020 / 05,Manhattan,02,1459.8,297.4,278.8,,,,,1
2021 / 03,Manhattan,02,1918.7,479.4,345.6,,,,,1
2020 / 10,Manhattan,10,2833.9,301.2,293.6,,,,,1
2021 / 03,Manhattan,10,2807.6,296.1,285.3,,,,,1
2020 / 11,Manhattan,10,2730.2,254.6,238.6,,,7.5,,1
2020 / 04,Bronx,04,3837.1,218.4,383.4,8.6,,,,2
2020 / 05,Bronx,04,4410.5,321.1,446.0,0.4,,,,2
2020 / 12,Bronx,04,4395.5,339.7,405.9,,,,,2
2020 / 05,Brooklyn,03,4326.4,426.3,465.2,,,,,3
2020 / 06,Manhattan,12,5361.5,533.9,585.8,,,,,1
2020 / 05,Manhattan,12,4845.6,499.2,582.9,2.0,,,,1
2021 / 02,Manhattan,12,4200.4,425.7,471.0,,,,,1
2020 / 08,Manhattan,12,5377.0,490.3,556.5,,,,,1
2021 / 03,Manhattan,12,5074.6,506.2,553.9,,,,,1
2020 / 03,Manhattan,05,1222.5,287.5,194.8,,,,,1
2021 / 04,Manhattan,08,1092.8,244.9,208.4,,,,,1
2020 / 05,Manhattan,09,2171.0,282.3,326.1,2.0,,,,1
2020 / 11,Manhattan,09,2168.6,240.3,245.4,,,,,1
2021 / 02,Manhattan,09,1875.7,227.8,242.3,,,,,1
2020 / 04,Manhattan,09,1878.8,221.2,292.4,31.5,,,,1
2020 / 04,Brooklyn,09,2777.8,284.9,276.5,,,,,3
2020 / 06,Brooklyn,09,3240.9,315.8,292.2,,,,,3
2020 / 07,Brooklyn,09,3274.8,360.1,325.4,,,,,3
2020 / 02,Brooklyn,09,2630.2,250.3,221.8,,,,,3
2021 / 03,Brooklyn,09,3211.2,307.0,278.2,,,,,3
2021 / 04,Brooklyn,09,684.6,64.6,66.1,,,,,3
2020 / 03,Manhattan,11,2157.0,204.8,195.6,3.8,,,,1
2020 / 11,Bronx,07,3863.3,328.0,504.2,,,,,2
2021 / 03,Bronx,07,3978.8,375.5,593.2,,,,,2
2020 / 05,Bronx,07,4027.1,342.8,527.2,,,,,2
2021 / 04,Bronx,07,889.2,82.7,158.1,,,,,2
2020 / 05,Manhattan,04,2061.0,420.9,438.2,1.5,,,,1
2020 / 08,Manhattan,04,2382.1,430.0,391.8,,,,,1
2021 / 03,Manhattan,01,1297.1,363.6,240.1,,,,,1
2021 / 02,Manhattan,01,1121.1,322.5,229.1,,,,,1
2020 / 11,Brooklyn,04,3424.2,325.1,412.1,,,,,3
2020 / 09,Brooklyn,04,3728.1,356.8,457.1,,,,,3
2020 / 10,Bronx,03,2207.6,162.1,222.2,,,,,2
2021 / 02,Bronx,03,1890.8,141.7,177.6,,,,,2
2021 / 01,Bronx,03,2075.5,148.7,200.4,,,,2.1,2
2020 / 07,Bronx,06,2698.3,243.6,280.7,,,,,2
2020 / 05,Bronx,06,2532.2,189.9,250.6,4.9,,,,2
2020 / 12,Bronx,06,2479.2,240.7,270.5,,,,,2
2021 / 01,Queens,7A,,,,,,6.0,,
2020 / 07,Brooklyn,07,3886.4,456.8,490.4,,,,,3
2020 / 11,Brooklyn,07,3469.4,418.1,403.5,,,,,3
2020 / 03,Staten Island,03,5463.3,743.4,707.2,,18.4,,,5
2020 / 09,Staten Island,03,6615.1,788.9,818.6,,,,,5
2020 / 12,Staten Island,03,6378.5,1053.5,863.3,,,,,5
2020 / 09,Brooklyn,11,5520.2,639.9,617.5,,,,,3
2020 / 11,Brooklyn,11,5301.1,568.4,547.4,,,7.4,,3
2021 / 01,Brooklyn,11,4938.4,608.5,598.6,,,9.5,16.2,3
2020 / 11,Queens,05,5513.0,605.1,736.4,,,,,4
2021 / 01,Queens,05,4760.2,688.6,872.8,,,,36.5,4
2020 / 10,Brooklyn,18,6102.5,635.0,732.8,,,,,3
2020 / 05,Brooklyn,18,6168.7,599.6,767.5,,,,,3
2020 / 11,Brooklyn,18,6116.7,562.4,609.5,,,,,3
2020 / 01,Queens,13,4520.2,448.6,857.4,172.6,,,30.0,4
2020 / 11,Queens,13,6203.2,466.8,834.6,,,,,4
2021 / 01,Queens,13,4776.5,485.3,901.8,,,,20.0,4
2020 / 05,Bronx,09,4199.8,274.4,442.9,,,,,2
2020 / 04,Bronx,09,3568.1,214.5,376.6,,,,,2
2020 / 11,Bronx,09,3985.2,243.5,374.0,,,,,2
2021 / 04,Bronx,09,922.7,72.5,105.5,,,,,2
2020 / 03,Staten Island,01,4932.1,584.8,688.3,110.5,,,,5
2020 / 06,Bronx,10,3135.3,341.9,580.2,,,,,2
2021 / 01,Queens,12,6200.2,540.5,947.0,,,,8.1,4
2020 / 10,Queens,01,4278.6,689.5,708.0,,,,,4
2020 / 12,Queens,01,4219.3,775.6,753.8,,,,,4
2020 / 07,Brooklyn,05,5906.2,391.1,614.3,,,,,3
2020 / 06,Brooklyn,05,5753.7,376.3,590.9,,,,,3
2020 / 05,Brooklyn,05,5159.9,293.5,493.1,,,,,3
2020 / 12,Brooklyn,05,5128.4,392.8,531.6,,,,,3
2021 / 04,Brooklyn,05,1255.4,72.5,119.2,,,,,3
2020 / 05,Brooklyn,06,2144.7,505.6,473.5,7.1,,,,3
2020 / 08,Brooklyn,06,2269.6,503.5,428.5,,,,,3
2020 / 09,Brooklyn,06,2367.9,585.7,448.8,,,,,3
2020 / 12,Brooklyn,06,2336.9,687.6,511.7,,,,,3
2020 / 03,Queens,03,4577.8,324.9,483.8,,,,,4
2021 / 01,Queens,03,4691.4,448.8,571.3,,,,19.3,4
2020 / 12,Queens,03,5201.1,504.2,637.7,,,,,4
2021 / 04,Queens,03,1196.3,89.0,120.5,,,,,4
2020 / 09,Queens,07,7466.3,809.0,876.2,,,,,4
2020 / 05,Brooklyn,14,4849.4,473.9,465.7,,,,,3
2020 / 01,Brooklyn,14,4583.6,488.9,410.3,,82.2,,10.8,3
2020 / 11,Brooklyn,13,2136.5,186.6,222.9,,,,,3
2021 / 03,Brooklyn,13,2253.4,204.7,260.2,,,,,3
2021 / 04,Brooklyn,13,554.8,51.7,64.2,,,,,3
2020 / 06,Queens,02,3485.3,478.1,500.0,,,,,4
2020 / 05,Queens,02,3165.6,425.1,486.5,5.4,,,,4
2020 / 10,Queens,02,3341.8,468.4,452.9,,,,,4
2021 / 03,Queens,02,3272.5,461.2,458.9,,,,,4
2020 / 09,Queens,04,4453.7,377.3,592.7,,,,,4
2020 / 07,Queens,04,4762.7,440.3,605.2,,,,,4
2021 / 02,Queens,04,3505.7,317.2,400.6,,,,,4
2020 / 12,Queens,04,4227.9,456.7,697.9,,,,,4
2020 / 07,Brooklyn,12,5702.8,670.7,412.2,,,,,3
2020 / 10,Queens,10,4411.8,405.1,603.2,,,,,4
2021 / 02,Queens,10,2844.9,295.0,437.7,,,,,4
2020 / 03,Queens,10,3461.1,351.0,515.8,54.6,,,,4
2020 / 06,Queens,14,3903.7,307.8,382.9,,,,,4
2020 / 09,Queens,14,3713.5,278.8,341.9,,,,,4
2020 / 11,Queens,14,3268.5,250.5,279.1,,,,,4
2020 / 05,Brooklyn,02,2401.4,448.0,463.7,5.1,,,,3
2021 / 01,Brooklyn,02,2419.6,562.5,471.8,,,,46.3,3
2020 / 07,Queens,11,3519.5,491.3,544.0,,,,,4
2020 / 12,Queens,08,3871.2,549.1,474.1,,,,,4
2020 / 12,Brooklyn,17,4839.4,433.5,563.2,,,,,3
2020 / 06,Queens,06,3183.6,445.1,449.1,,,,,4
2021 / 02,Queens,06,2340.7,361.7,355.2,,,,,4
2020 / 10,Bronx,08,2557.6,370.7,411.1,,,,,2
2020 / 04,Bronx,08,2177.5,326.8,419.6,63.4,,,,2
2021 / 04,Bronx,08,601.6,72.6,91.4,,,,,2
2021 / 02,Brooklyn,08,2298.2,283.0,267.9,,,,,3
2021 / 01,Brooklyn,08,2603.9,342.2,327.2,,,9.7,13.8,3
2020 / 03,Bronx,01,1971.0,130.1,160.7,4.7,,,,2
2020 / 01,Bronx,01,1973.9,118.8,142.0,5.8,,,23.8,2
2020 / 07,Brooklyn,16,2769.8,162.4,246.7,,,,,3
2020 / 10,Brooklyn,16,2461.2,131.5,234.5,,,,,3
2021 / 02,Brooklyn,16,2164.0,88.5,161.8,,,,,3
2021 / 02,Bronx,02,1402.9,109.4,133.0,,,,,2
2020 / 06,Manhattan,07,4286.0,913.8,774.1,,,,,1
2020 / 02,Manhattan,03,2707.7,308.8,301.4,,41.7,,,1
2020 / 11,Manhattan,03,2718.3,318.1,289.2,,,,,1
2021 / 02,Manhattan,03,2460.4,324.6,294.9,,,,,1
2020 / 07,Manhattan,02,1765.4,363.4,301.4,,,,,1
2020 / 06,Manhattan,10,2885.8,306.7,302.7,,,,,1
2020 / 02,Manhattan,10,2316.6,229.9,245.6,16.5,25.0,,,1
